cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,512,add,2.6011466979980467e-05,2.5540590286254883e-05,10078.01675321723,10263.819162436404
1,1024,add,0.00046045780181884765,0.0004508495330810547,2277.246678974784,2325.778165575886
1,2048,add,0.0014909982681274414,0.0014892518520355225,2813.0844211292515,2816.3832694028133
1,4096,add,0.00599966049194336,0.0060045719146728516,2796.3608978423485,2794.0736223015283
1,8192,add,0.023147392272949218,0.02315625548362732,2899.197594643331,2898.0879074965064
2,512,add,3.209114074707031e-05,3.197789192199707e-05,8168.734233105498,8197.663580808947
2,1024,add,0.0005274772644042969,0.0005262494087219238,1987.9074810630989,1992.545706695662
2,2048,add,0.0014973878860473633,0.0015000998973846436,2801.0804942944033,2796.016456845694
2,4096,add,0.005875730514526367,0.005874305963516235,2855.341299013334,2856.0337347422596
2,8192,add,0.023055005073547363,0.023050367832183838,2910.8154080173567,2911.401001866007
4,512,add,3.669261932373047e-05,3.6090612411499023e-05,7144.32506677063,7263.495476637489
4,1024,add,0.00037250518798828127,0.0003738701343536377,2814.9299226216076,2804.6530162480667
4,2048,add,0.0015475034713745117,0.001542896032333374,2710.368071920748,2718.4618484349926
4,4096,add,0.006044816970825195,0.006038635969161987,2775.4712973070705,2778.3122025698563
4,8192,add,0.023166847229003907,0.023175030946731567,2896.7629188654796,2895.739995094355
