cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,512,sub,2.6702880859375e-05,2.6017427444458008e-05,9817.068105142856,10075.707929218786
1,1024,sub,0.00034530162811279296,0.0003451406955718994,3036.6957889277087,3038.1117424084277
1,2048,sub,0.0014831304550170898,0.0014832913875579834,2828.007466107673,2827.700636019529
1,4096,sub,0.006018710136413574,0.0060197412967681885,2787.5102172634615,2787.0327266401237
1,8192,sub,0.022973918914794923,0.02297225594520569,2921.0890945028414,2921.3005531572803
4,512,sub,3.6263465881347655e-05,3.55839729309082e-05,7228.873292412886,7366.912078901172
4,1024,sub,0.0004404783248901367,0.0004234910011291504,2380.539383547497,2476.0289999178044
4,2048,sub,0.0015129327774047851,0.0015009045600891113,2772.3003048388673,2794.517460691156
4,4096,sub,0.005977201461791992,0.0059728920459747314,2806.868081533614,2808.8932247329917
4,8192,sub,0.02382650375366211,0.023053407669067383,2816.563634086912,2911.0171026926046
