cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,512,add,7.987022399902344e-05,7.94529914855957e-05,3282.1242620179105,3299.359723258815
1,1024,add,0.0003534555435180664,0.00035315752029418945,2966.641828737943,2969.1453239520674
1,2048,add,0.002517247200012207,0.0025078654289245605,1666.2265032928274,1672.4597546681878
1,4096,add,0.016476130485534667,0.016345858573913574,1018.2740428482084,1026.3894015805834
1,8192,add,0.06859352588653564,0.06865584850311279,978.3556557656549,977.4675495701921
4,512,add,7.991790771484375e-05,7.987022399902344e-05,3280.16595398568,3282.1242620179105
4,1024,add,0.0003600120544433594,0.00036075711250305176,2912.613583512583,2906.598272518133
4,2048,add,0.003135204315185547,0.003135889768600464,1337.8088246704183,1337.5164018829344
4,4096,add,0.01730337142944336,0.017245888710021973,969.5923172204431,972.8240905468898
4,8192,add,0.0662611961364746,0.06591129302978516,1012.7928246538064,1018.1694352388697
8,512,add,7.32421875e-05,7.322430610656738e-05,3579.1394133333333,3580.013440052096
8,1024,add,0.0003281116485595703,0.0003274977207183838,3195.7902275134425,3201.7810618647736
8,2048,add,0.0025608062744140623,0.002527981996536255,1637.8841468434382,1659.1510563551783
8,4096,add,0.019078803062438966,0.017878323793411255,879.3641794557767,938.4110162599779
8,8192,add,0.07113528251647949,0.07105997204780579,943.3977293117981,944.3975569657181
