cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,512,div,0.00011034011840820313,0.00010979175567626953,2375.781391045808,2387.647400165038
1,1024,div,0.00040941238403320314,0.0004092752933502197,2561.173137144188,2562.0310266388988
1,2048,div,0.00491175651550293,0.004892975091934204,853.9315796215791,857.2093503835888
1,4096,div,0.018702030181884766,0.018369346857070923,897.0799339341679,913.3267573714487
1,8192,div,0.08328537940979004,0.08240464329719543,805.770046022165,814.3820701701161
4,512,div,8.044242858886718e-05,8.025765419006348e-05,3258.777794238293,3266.280364726327
4,1024,div,0.0004047870635986328,0.00040453672409057617,2590.438515198492,2592.0415565663766
4,2048,div,0.003864026069641113,0.0038141608238220215,1085.4750781713963,1099.666268344986
4,4096,div,0.02110745906829834,0.021077901124954224,794.8477334819514,795.9623636405324
4,8192,div,0.07380216121673584,0.07298320531845093,909.3075716701636,919.5110533605759
